wkt,operat,typlinii,tekst,datamod,usermod,datautw,userutw,warstwa
"LINESTRING (8430356.75 5912427.19,8430354.77 5912424.96)",GG.6641.957.2016,0,0.00000000000,2016.10.12; 11.35.50,nieznany,2016.10.12; 11.35.50,nieznany,BUBI 21
"LINESTRING (8430354.77 5912424.96,8430356.3 5912422.92)",GG.6641.957.2016,0,0.00000000000,2016.10.12; 11.35.50,nieznany,2016.10.12; 11.35.50,nieznany,BUBI 21
"LINESTRING (8430356.3 5912422.92,8430358.54 5912425.18)",GG.6641.957.2016,0,0.00000000000,2016.10.12; 11.35.50,nieznany,2016.10.12; 11.35.50,nieznany,BUBI 21
"LINESTRING (8430358.54 5912425.18,8430356.75 5912427.19)",GG.6641.957.2016,0,0.00000000000,2016.10.12; 11.35.50,nieznany,2016.10.12; 11.35.50,nieznany,BUBI 21
"LINESTRING (8428006.0811 5910927.0098,8428004.6677 5910927.0792)",_,0,0.00000000000,2019.03.27; 09.48.24,nieznany,2007.12.14; 11.24.12,nieznany,BUBI 22
"LINESTRING (8428004.6677 5910927.0792,8427997.8909 5910927.4119)",_,0,0.00000000000,2019.03.27; 09.48.24,nieznany,2007.12.14; 11.24.12,nieznany,BUBI 22
"LINESTRING (8427997.8909 5910927.4119,8427996.191 5910927.4953)",_,0,0.00000000000,2019.03.27; 09.48.24,nieznany,2007.12.14; 11.24.12,nieznany,BUBI 22
"LINESTRING (8427996.191 5910927.4953,8427996.1638 5910927.1095)",_,0,0.00000000000,2019.03.27; 09.53.24,nieznany,2007.12.14; 11.24.12,nieznany,BUBI 22
"LINESTRING (8427996.1638 5910927.1095,8427995.9733 5910924.4111)",_,0,0.00000000000,2019.03.27; 09.53.24,nieznany,2007.12.14; 11.24.12,nieznany,BUBI 22
"LINESTRING (8427995.9733 5910924.4111,8427997.6876 5910924.3057)",_,0,0.00000000000,2019.03.27; 09.53.24,nieznany,2007.12.14; 11.24.12,nieznany,BUBI 22
"LINESTRING (8427997.6876 5910924.3057,8428004.4737 5910923.89)",_,0,0.00000000000,2019.03.27; 09.53.24,nieznany,2007.12.14; 11.24.12,nieznany,BUBI 22
"LINESTRING (8428004.4737 5910923.89,8428005.8593 5910923.8052)",_,0,0.00000000000,2019.03.27; 09.53.24,nieznany,2007.12.14; 11.24.12,nieznany,BUBI 22
"LINESTRING (8428005.8593 5910923.8052,8428006.0811 5910927.0098)",_,0,0.00000000000,2019.03.27; 09.53.24,nieznany,2007.12.14; 11.24.12,nieznany,BUBI 22
